region,year,wastewater,chemical oxygen,ammonia nitrogen,so,no,smoke and powder,gdp
青海省,2005,19360,7.2,7.2,12.4,,17,466.1
寧夏回族自治區,2005,35817,14.3,14.3,34.2,,21.3,537.11
新疆維吾爾自治區,2005,63419,27.1,27.1,51.9,,44.4,2209.09
北京市,2006,104922,11,11,17.6,,8,6969.52
天津市,2006,58834,14.3,14.3,25.5,,9,3905.64
河北省,2006,213672,68.8,68.8,154.5,,136.9,10012.11
山西省,2006,89142,38.7,38.7,147.8,,170.4,4230.53
內蒙古自治區,2006,55102,29.8,29.8,155.7,,93.1,3905.03
遼寧省,2006,206236,64.1,64.1,125.9,,113.4,8047.26
吉林省,2006,89855,41.7,41.7,40.9,,54.5,3620.27
黑龍江省,2006,110201,49.8,49.8,51.8,,66.4,5513.7
上海市,2006,222565,30.2,30.2,50.8,,12.3,9247.66
江蘇省,2006,508825,93,93,130.4,,73.2,18598.69
浙江省,2006,303515,59.3,59.3,85.9,,42.6,13417.68
安徽省,2006,164449,45.6,45.6,58.4,,71.8,5350.17
福建省,2006,213401,39.5,39.5,46.9,,32.1,6554.69
江西省,2006,130183,47.4,47.4,63.4,,57.8,4056.76
山東省,2006,299812,75.8,75.8,196.2,,90.7,18366.87
河南省,2006,268888,72.1,72.1,162.4,,136.1,10587.42
湖北省,2006,231454,62.6,62.6,76,,63.3,6590.19
湖南省,2006,235728,92.3,92.3,93.4,,122.5,6596.1
廣東省,2006,618921,104.9,104.9,126.7,,56,22557.37
廣西壯族自治區,2006,250584,111.9,111.9,99.4,,91.9,3984.1
海南省,2006,34962,9.9,9.9,2.4,,2.1,918.75
重慶市,2006,145263,26.4,26.4,86,,41.4,3467.72
四川省,2006,234483,80.6,80.6,128.1,,94.1,7385.1
貴州省,2006,51460,22.9,22.9,146.5,,41.7,2005.42
雲南省,2006,76760,29.4,29.4,55.1,,36.5,3462.73
西藏自治區,2006,2685,1.5,1.5,0.2,,0.1,248.8
陝西省,2006,82204,35.5,35.5,98.1,,65.1,3933.72
甘肅省,2006,42254,17.8,17.8,54.6,,32,1933.98
青海省,2006,15726,7.5,7.5,13,,16.1,543.32
寧夏回族自治區,2006,25276,14,14,38.3,,20.2,612.61
新疆維吾爾自治區,2006,57440,28.8,28.8,54.9,,45.7,2604.19
北京市,2007,107816.69,10.6,10.6,15.166115,,6.7,8117.78
天津市,2007,56928.16,13.7,13.7,24.47,,8.3,4462.74
河北省,2007,222914.35,66.7,66.7,149.247999,,115.5,11467.6
山西省,2007,104594.39,37.4,37.4,138.672444,,152.8,4878.61
內蒙古自治區,2007,60405.23,28.8,28.8,145.580049,,86.4,4944.25
遼寧省,2007,220996.73,62.8,62.8,123.384285,,112.9,9304.52
吉林省,2007,97857.83,40,40,39.897741,,49.3,4275.12
黑龍江省,2007,108972.59,48.8,48.8,51.536872,,65,6211.8
上海市,2007,226614.08,29.4,29.4,49.781819,,11.4,10572.24
江蘇省,2007,505598.33,89.1,89.1,121.805577,,64,21742.05
浙江省,2007,338100.92,56.4,56.4,79.702656,,38.5,15718.47
安徽省,2007,175327.09,45.1,45.1,57.170104,,61.3,6112.5
福建省,2007,226997.87,38.3,38.3,44.56578,,30.5,7583.85
江西省,2007,141266.69,46.9,46.9,62.098933,,53.2,4820.53
山東省,2007,334254.73,72,72,182.214993,,76.7,21900.19
河南省,2007,296467.29,69.4,69.4,156.390041,,112.8,12362.79
湖北省,2007,246582.56,60.1,60.1,70.757478,,52.3,7617.47
湖南省,2007,252072.98,90.4,90.4,90.42891,,110.2,7688.67
廣東省,2007,690887.04,101.7,101.7,120.301916,,52.3,26587.76
廣西壯族自治區,2007,319808.27,106.3,106.3,97.384404,,74.4,4746.16
海南省,2007,35158.63,10.1,10.1,2.55997,,2.1,1065.67
重慶市,2007,134240.39,25.1,25.1,82.620013,,38,3907.23
四川省,2007,252961.78,77.1,77.1,117.874969,,65.4,8690.24
貴州省,2007,55112.42,22.7,22.7,137.507297,,44.1,2338.98
雲南省,2007,83758.94,29,29,53.37,,34.8,3988.14
西藏自治區,2007,3335.56,1.5,1.5,0.18908,,0.2,290.76
陝西省,2007,99348.16,34.5,34.5,92.720882,,61.5,4743.61
甘肅省,2007,44335.27,17.4,17.4,52.324999,,23.1,2277.35
青海省,2007,19948.49,7.6,7.6,13.392277,,15,648.5
寧夏回族自治區,2007,37213.38,13.7,13.7,36.977567,,18.7,725.9
新疆維吾爾自治區,2007,68617.3,29,29,57.993679,,47.7,3045.26
北京市,2008,113259,10.1,10.1,12.3,,6.3,11115
天津市,2008,61229,13.3,13.3,24,,7.7,6719.01
河北省,2008,234697,60.5,60.5,134.5,,107.5,16011.97
山西省,2008,106911,35.9,35.9,130.8,,120.3,7315.4
內蒙古自治區,2008,70421,28,28,143.1,,78.9,8496.2
遼寧省,2008,212021,58.4,58.4,113.1,,95.9,13668.58
吉林省,2008,107781,37.4,37.4,37.8,,44.3,6426.1
黑龍江省,2008,110996,47.6,47.6,50.6,,58.9,8314.37
上海市,2008,223751,26.7,26.7,44.6,,11.4,14069.86
江蘇省,2008,509701,85.1,85.1,113,,54,30981.98
浙江省,2008,350377,53.9,53.9,74.1,,34.6,21462.69
安徽省,2008,168670,43.3,43.3,55.6,,61.3,8851.66
福建省,2008,236269,37.8,37.8,42.9,,28.8,10823.01
江西省,2008,138909,44.5,44.5,58.3,,48.3,6971.05
山東省,2008,358911,67.9,67.9,169.2,,70.6,30933.28
河南省,2008,309193,65.1,65.1,145.2,,90.1,18018.53
湖北省,2008,258874,58.6,58.6,67,,44.6,11328.92
湖南省,2008,250331,88.5,88.5,84,,93.3,11555
廣東省,2008,677352,96.4,96.4,113.6,,52.6,36796.71
廣西壯族自治區,2008,345355,101.3,101.3,92.5,,66.2,7021
海南省,2008,36188,10.1,10.1,2.2,,1.8,1503.06
重慶市,2008,145113,24.2,24.2,78.2,,33.7,5793.66
四川省,2008,262343,74.9,74.9,114.8,,46.6,12601.23
貴州省,2008,55866,22.2,22.2,123.6,,45.5,3561.56
雲南省,2008,83865,28.1,28.1,50.2,,32.7,5692.12
西藏自治區,2008,3420,1.5,1.5,0.2,,0.2,394.85
陝西省,2008,104883,33.2,33.2,88.9,,48.5,7314.58
甘肅省,2008,47470,17.1,17.1,50.2,,22.2,3166.82
青海省,2008,19997,7.5,7.5,13.5,,15.3,1018.62
寧夏回族自治區,2008,37948,13.2,13.2,34.8,,15.2,1203.92
新疆維吾爾自治區,2008,74700,28.7,28.7,58.5,,49.1,4183.21
北京市,2009,140812.88,9.9,9.9,11.879386,,6.1,12153.03
天津市,2009,59647.38,13.3,13.3,23.669981,,7.9,7521.85
河北省,2009,244988.51,57,57,125.346329,,94.6,17235.48
山西省,2009,105875.05,34.4,34.4,126.842769,,107.5,7358.31
內蒙古自治區,2009,73154.74,27.9,27.9,139.880338,,65.8,9740.25
遼寧省,2009,217154.68,56.3,56.3,105.141947,,84,15212.49
吉林省,2009,109714.74,36.1,36.1,36.300524,,45,7278.75
黑龍江省,2009,110508.16,46.2,46.2,49.038348,,53.4,8587
上海市,2009,230517.53,24.3,24.3,37.890751,,11,15046.45
江蘇省,2009,522329.29,82.2,82.2,107.415454,,49.4,34457.3
浙江省,2009,365017.13,51.4,51.4,70.132951,,35.8,22990.35
安徽省,2009,179701.21,42.4,42.4,53.842397,,56.5,10062.82
福建省,2009,246012.63,37.6,37.6,41.965635,,27,12236.53
江西省,2009,147080.54,43.5,43.5,56.422198,,42.7,7655.18
山東省,2009,386731.08,64.7,64.7,159.030146,,63.8,33896.65
河南省,2009,333980.16,62.6,62.6,135.500051,,84.6,19480.46
湖北省,2009,265756.75,57.6,57.6,64.376133,,40,12961.1
湖南省,2009,260278.41,84.8,84.8,81.150155,,91.6,13059.69
廣東省,2009,687429.19,91.1,91.1,107.048815,,40.6,39482.56
廣西壯族自治區,2009,305507.09,97.6,97.6,89.049478,,72.6,7759.16
海南省,2009,37517.74,10,10,2.20312,,1.8,1654.21
重慶市,2009,147068.75,24,24,74.609162,,29.9,6530.01
四川省,2009,262708.65,74.8,74.8,113.529913,,39.9,14151.28
貴州省,2009,59159.17,21.6,21.6,117.549419,,53.9,3912.68
雲南省,2009,87590.64,27.3,27.3,49.930678,,28,6169.75
西藏自治區,2009,3455.23,1.5,1.5,0.166,,0.3,441.36
陝西省,2009,111218.74,31.8,31.8,80.440763,,35,8169.8
甘肅省,2009,49270.16,16.8,16.8,50.030571,,24.6,3387.56
青海省,2009,22170.93,7.6,7.6,13.569826,,14.5,1081.27
寧夏回族自治區,2009,41336.46,12.5,12.5,31.424507,,13.4,1353.31
新疆維吾爾自治區,2009,77183.63,28.7,28.7,58.990005,,50.2,4277.05
北京市,2010,136415,9.2,9.2,11.505,,6.6,14113.58
天津市,2010,68196,13.2,13.2,23.515,,7.3,9224.46
河北省,2010,262543,54.6,54.6,123.378,,82.1,20394.26
山西省,2010,118299,33.3,33.3,124.9201,,98.6,9200.86
內蒙古自治區,2010,92548,27.5,27.5,139.41,,80.7,11672
遼寧省,2010,218189,54.2,54.2,102.2207,,80,18457.27
